Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_055125.1,,"Tomaru,Y., Toyoda,K., Kimura,K., Takao,Y., Nakayama,N., Nagasaki,K.",2021-06-01T00:00:00Z,Csp02RNAV01,Chaetarnavirus 2,Sogarnavirus,Marnaviridae,ssRNA(+),9417,RefSeq,complete,,,,"Japan:Kumamoto, Yatsushiro Sea",Japan,,Chaetoceros sp.,,2009-03,,"Chaetoceros sp. RNA virus 2 genes for putative replication related protein, putative structural protein, complete cds, isolate: Csp02RNAV01"
NC_055129.1,,"Dombrovsky,A., Glanz,E., Lachman,O., Sela,N., Doron-Faigenboim,A., Antignus,Y., Pearlsman,M.",2021-06-01T00:00:00Z,Is,Pepper vein yellows virus 2,Polerovirus,Solemoviridae,ssRNA(+),6028,RefSeq,complete,,,1,Israel,Israel,,Capsicum annuum,,2002-10,,"Pepper vein yellows virus 2 isolate Is, complete genome"
NC_055137.1,,"Okland,A.L., Nylund,A., Overgard,A.C., Blindheim,S., Watanabe,K., Grotmol,S., Arnesen,C.E., Plarre,H., Okland,A.",2021-06-01T00:00:00Z,LSRV-No9,Salmonlouse caligrhavirus,Caligrhavirus,Rhabdoviridae,ssRNA(-),11681,RefSeq,complete,,,1,Norway,Norway,,Lepeophtheirus salmonis,,2013-09,,"Lepeophtheirus salmonis rhabdovirus No9, partial genome"
NC_055138.1,,"Okland,A.L., Nylund,A., Overgard,A.C., Blindheim,S., Watanabe,K., Grotmol,S., Arnesen,C.E., Plarre,H., Okland,A.",2021-06-01T00:00:00Z,LSRV-No127,Lepeophtheirus caligrhavirus,Caligrhavirus,Rhabdoviridae,ssRNA(-),11519,RefSeq,complete,,,1,Norway,Norway,,Lepeophtheirus salmonis,,2013-09,,"Lepeophtheirus salmonis rhabdovirus No127, partial genome"
NC_055143.1,,"Marzano,S.-Y.L., Nelson,B.D., Ajayi-Oyetunde,O., Bradley,C.A., Hughes,T.J., Hartman,G.L., Eastburn,D.M., Domier,L.L., Hobbs,H.A., Ajayi,O.O., Bradley,C.",2021-06-01T00:00:00Z,RsAG2,Rhizoctonia magoulivirus 1,Magoulivirus,Botourmiaviridae,ssRNA(+),2792,RefSeq,complete,,,,USA,USA,,Rhizoctonia solani,,2013-06-01,,"Rhizoctonia solani ourmia-like virus 1 RNA 1 isolate RsAG2 RNA-dependent RNA polymerase gene, partial cds"
NC_055144.1,,"Marzano,S.-Y.L., Nelson,B.D., Ajayi-Oyetunde,O., Bradley,C.A., Hughes,T.J., Hartman,G.L., Eastburn,D.M., Domier,L.L., Hobbs,H.A., Ajayi,O.O., Bradley,C.",2021-06-01T00:00:00Z,334,Sclerotinia scleroulivirus 1,Scleroulivirus,Botourmiaviridae,ssRNA(+),3180,RefSeq,complete,,,,USA,USA,,Sclerotinia sclerotiorum,,2013-06-01,,"Sclerotinia sclerotiorum ourmia-like virus 1 RNA 1 isolate 334 RNA-dependent RNA polymerase gene, complete cds"
NC_055145.1,,"Marzano,S.-Y.L., Nelson,B.D., Ajayi-Oyetunde,O., Bradley,C.A., Hughes,T.J., Hartman,G.L., Eastburn,D.M., Domier,L.L., Hobbs,H.A., Ajayi,O.O., Bradley,C.",2021-06-01T00:00:00Z,291,Sclerotinia botoulivirus 2,Botoulivirus,Botourmiaviridae,ssRNA(+),2333,RefSeq,complete,,,,USA,USA,,Sclerotinia sclerotiorum,,2013-06-01,,"Sclerotinia sclerotiorum ourmia-like virus 2 RNA 1 isolate 291 RNA-dependent RNA polymerase gene, partial cds"
NC_055147.1,,,2021-06-01T00:00:00Z,ET2121,Tigray orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6532,RefSeq,complete,,L,,Ethiopia,Ethiopia,,Stenocephalemys albipes,"liver, abdominal cavity",2010-10-10,,"Tigray hantavirus isolate ET2121 segment L, complete sequence"
NC_055156.1,,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T00:00:00Z,RtMp-PicoV/YN2014,Rabovirus B,Rabovirus,Picornaviridae,ssRNA(+),7278,RefSeq,complete,,,1,China,China,,Rodentia,,,,"Rabovirus B1 isolate RtMp-PicoV/YN2014, partial genome"
NC_055159.1,,"Naoi,Y., Kishimoto,M., Masuda,T., Ito,M., Tsuchiaka,S., Sano,K., Yamasato,H., Omatsu,T., Aoki,H., Furuya,T., Katayama,Y., Oba,M., Okada,T., Shirai,J., Mizutani,T., Nagai,M.",2021-06-01T00:00:00Z,,Tottorivirus A,Tottorivirus,Picornaviridae,ssRNA(+),7062,RefSeq,complete,,,1,Japan: Tottori,Japan,,Sus scrofa domesticus,,2015,,"Swine picornavirus Tottori-WOL gene for polyprotein, complete cds"
NC_055160.1,,"Willams,S.H., Che,X., Garcia,J.A., Klena,J.D., Lee,B., Muller,D., Ulrich,W., Corrigan,R.M., Nichol,S., Jain,K., Lipkin,W.I., Williams,S.H.",2021-06-01T00:00:00Z,MPV/NYC/2014/M005/0074,Rabovirus D,Rabovirus,Picornaviridae,ssRNA(+),7112,RefSeq,complete,,,,USA,USA,,Mus musculus,feces,2014-08-15,,"Rabovirus D1 isolate MPV/NYC/2014/M005/0074, partial genome"
NC_055161.1,,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2021-06-01T00:00:00Z,,Ailurivirus A,Ailurivirus,Picornaviridae,ssRNA(+),8029,RefSeq,complete,,,1,China,China,,,feces,2015,,"Aimelvirus 1 strain gpai001, complete genome"
NC_055167.1,,"Alkhovsky,S., Butenko,A., Eremyan,A., Shchetinin,A., Alkhovsky,S.V., Shchetinin,A.M.",2021-06-01T00:00:00Z,,Myodes narmovirus,Narmovirus,Paramyxoviridae,ssRNA(-),16992,RefSeq,complete,,,1,Russia: Bashkiria,Russia,,Myodes glareolus,kidney,1973,,"Bank vole virus strain RP-12, complete genome"
NC_055168.1,,"Vanmechelen,B., Laenen,L., Vergote,V., Lopes,A., Korva,M., Avsic Zupanc,T., Maes,P.",2021-06-01T00:00:00Z,TT02/05,Myodes jeilongvirus,Jeilongvirus,Paramyxoviridae,ssRNA(-),20148,RefSeq,complete,,,,Slovenia,Slovenia,,Myodes glareolus,,2016-08,,"Pohorje myodes paramyxovirus 1 isolate TT02/05, complete genome"
NC_055169.1,,"Shi,M., Lin,X.D., Chen,X., Tian,J.H., Chen,L.J., Li,K., Wang,W., Eden,J.S., Shen,J.J., Liu,L., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Tian,J.-H., Chen,L.-J., Eden,J.-S., Shen,J.-J., Zhuang,Y.-Z.",2021-06-01T00:00:00Z,,Sharpbelly cultervirus,Cultervirus,Bornaviridae,ssRNA(-),8989,RefSeq,complete,,,1,China,China,,Hemiculter leucisculus,,,,"Wuhan sharpbelly bornavirus strain DSYS4497 nucleoprotein gene, partial cds; and hypothetical protein, glycoprotein, hypothetical protein, and L protein genes, complete cds"
NC_055170.1,,,2021-06-01T00:00:00Z,,Gecko reptillovirus,Reptillovirus,Hantaviridae,ssRNA(-),6627,RefSeq,complete,,L,,China,China,,Hemidactylus bowringii,,,,"Hainan oriental leaf-toed gecko hantavirus strain LPXYF84819 L protein gene, complete cds"
NC_055171.1,,,2021-06-01T00:00:00Z,,Batfish actinovirus,Actinovirus,Hantaviridae,ssRNA(-),5301,RefSeq,complete,,L,,China,China,,Halieutaea stellata,,,,"Wenling minipizza batfish hantavirus strain XQTMS16810 L protein gene, partial cds"
NC_055172.1,,,2021-06-01T00:00:00Z,,Goosefish actinovirus,Actinovirus,Hantaviridae,ssRNA(-),6403,RefSeq,complete,,L,,China,China,,Lophius litulon,,,,"Wenling yellow goosefish hantavirus strain XQTMS34106 segment L, complete sequence"
NC_055173.1,,,2021-06-01T00:00:00Z,,Spikefish actinovirus,Actinovirus,Hantaviridae,ssRNA(-),6305,RefSeq,complete,,L,,China,China,,Triacanthodes anomalus,,,,"Wenling red spikefish hantavirus strain XTXMS70955 segment L, complete sequence"
NC_055174.1,,,2021-06-01T00:00:00Z,,Hagfish agnathovirus,Agnathovirus,Hantaviridae,ssRNA(-),6761,RefSeq,complete,,L,,China,China,,Eptatretus burgeri,,,,"Wenling hagfish hantavirus strain DHMMS25300 segment L, complete sequence"
NC_055175.1,,"Shi,M., Lin,X.D., Chen,X., Tian,J.H., Chen,L.J., Li,K., Wang,W., Eden,J.S., Shen,J.J., Liu,L., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Tian,J.-H., Chen,L.-J., Eden,J.-S., Shen,J.-J., Zhuang,Y.-Z.",2021-06-01T00:00:00Z,,Xilang striavirus,Striavirus,Filoviridae,ssRNA(-),17221,RefSeq,complete,,,1,China,China,,Antennarius striatus,,,,"Wenling frogfish filovirus strain XYHYS28627 nucleoprotein, hypothetical protein, matrix protein, hypothetical protein, putative glycoprotein 1, putative glycoprotein 2, VP30, hypothetical protein, and L protein genes, complete cds"
NC_055176.1,,"Shi,M., Lin,X.D., Chen,X., Tian,J.H., Chen,L.J., Li,K., Wang,W., Eden,J.S., Shen,J.J., Liu,L., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Tian,J.-H., Chen,L.-J., Eden,J.-S., Shen,J.-J., Zhuang,Y.-Z.",2021-06-01T00:00:00Z,,Huangjiao thamnovirus,Thamnovirus,Filoviridae,ssRNA(-),14280,RefSeq,complete,,,1,China,China,,Thamnaconus septentrionalis,,,,"Wenling thamnaconus septentrionalis filovirus strain LQMMTII17328 hypothetical protein, nucleoprotein, hypothetical protein, putative glycoprotein, hypothetical protein, and L protein genes, complete cds"
NC_055177.1,,"Dey,K.K., Sugikawa,J., Kerr,C., Melzer,M.J., Melzer,M.",2021-06-01T00:00:00Z,APV1-FL,Air potato ampelovirus 1,Ampelovirus,Closteroviridae,ssRNA(+),13398,RefSeq,complete,,,1,USA,USA,,Dioscorea bulbifera,,2017-03,,"Air potato virus 1 isolate APV1-FL, complete genome"
NC_055178.1,,"Zhou,J., Kantartzi,S.K., Wen,R.H., Newman,M., Hajimorad,M.R., Rupe,J.C., Tzanetakis,I.E.",2021-06-01T00:00:00Z,TN,Soybean vein necrosis orthotospovirus,Orthotospovirus,Tospoviridae,ssRNA(+/-),2603,RefSeq,complete,,S,1,USA,USA,,Glycine max,,2008-09,,"Soybean vein necrosis virus isolate TN segment S, complete sequence"
NC_055179.1,,"Zhou,J., Kantartzi,S.K., Wen,R.H., Newman,M., Hajimorad,M.R., Rupe,J.C., Tzanetakis,I.E.",2021-06-01T00:00:00Z,TN,Soybean vein necrosis orthotospovirus,Orthotospovirus,Tospoviridae,ssRNA(+/-),9010,RefSeq,complete,,L,1,USA,USA,,Glycine max,,2008-09,,"Soybean vein necrosis virus isolate TN segment L, complete sequence"
NC_055180.1,,"Zhou,J., Tzanetakis,I., Kantartzi,S.K., Wen,R.H., Newman,M., Hajimorad,M.R., Rupe,J.C., Tzanetakis,I.E.",2021-06-01T00:00:00Z,TN,Soybean vein necrosis orthotospovirus,Orthotospovirus,Tospoviridae,ssRNA(+/-),4955,RefSeq,complete,,M,2,USA,USA,,Glycine max,,2008-09,,"Soybean vein necrosis virus isolate TN segment M, complete sequence"
NC_055181.1,,"Chowdhary,R., Street,C., Travassos da Rosa,A., Nunes,M., Tee,K.K., Hutchison,S.K., Vasconcelos,P.F., Tesh,R., Lipkin,W.I., Briese,T.",2021-06-01T00:00:00Z,,Macaua orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6851,RefSeq,complete,,L,1,Brazil,Brazil,,,,1976,,"Macaua virus strain BeAr306329 RNA-dependent RNA polymerase gene, complete cds"
NC_055182.1,,"Chowdhary,R., Street,C., Travassos da Rosa,A., Nunes,M., Tee,K.K., Hutchison,S.K., Vasconcelos,P.F., Tesh,R., Lipkin,W.I., Briese,T.",2021-06-01T00:00:00Z,,Macaua orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),1035,RefSeq,complete,,S,1,Brazil,Brazil,,,,1976,,"Macaua virus strain BeAr306329 nucleocapsid protein gene, complete cds"
NC_055183.1,,"Chowdhary,R., Street,C., Travassos da Rosa,A., Nunes,M., Tee,K.K., Hutchison,S.K., Vasconcelos,P.F., Tesh,R., Lipkin,W.I., Briese,T.",2021-06-01T00:00:00Z,,Macaua orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4569,RefSeq,complete,,M,1,Brazil,Brazil,,,,1976,,"Macaua virus strain BeAr306329 polyprotein gene, complete cds"
NC_055184.1,,"Ladner,J.T., Savji,N., Lofts,L., Travassos da Rosa,A., Wiley,M.R., Gestole,M.C., Rosen,G.E., Guzman,H., Vasconcelos,P.F., Nunes,M.R., J Kochel,T., Lipkin,W.I., Tesh,R.B., Palacios,G., Wiley,M., Vasconcelos,P.F.C., Nunes,M.R.T., Lipkin,I.",2021-06-01T00:00:00Z,Aus Ch 16129,Faceys paddock orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4419,RefSeq,complete,,M,1,Australia,Australia,,Culicidae,,1974,,"Facey's Paddock virus isolate Aus Ch 16129 membrane glycoprotein polyprotein gene, complete cds"
NC_055185.1,,"Ladner,J.T., Savji,N., Lofts,L., Travassos da Rosa,A., Wiley,M.R., Gestole,M.C., Rosen,G.E., Guzman,H., Vasconcelos,P.F., Nunes,M.R., J Kochel,T., Lipkin,W.I., Tesh,R.B., Palacios,G., Wiley,M., Vasconcelos,P.F.C., Nunes,M.R.T., Lipkin,I.",2021-06-01T00:00:00Z,Aus Ch 16129,Faceys paddock orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6914,RefSeq,complete,,L,1,Australia,Australia,,Culicidae,,1974,,"Facey's Paddock virus isolate Aus Ch 16129 RNA polymerase gene, complete cds"
NC_055186.1,,"Ladner,J.T., Savji,N., Lofts,L., Travassos da Rosa,A., Wiley,M.R., Gestole,M.C., Rosen,G.E., Guzman,H., Vasconcelos,P.F., Nunes,M.R., J Kochel,T., Lipkin,W.I., Tesh,R.B., Palacios,G., Wiley,M., Vasconcelos,P.F.C., Nunes,M.R.T., Lipkin,I.",2021-06-01T00:00:00Z,Aus Ch 16129,Faceys paddock orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),956,RefSeq,complete,,S,1,Australia,Australia,,Culicidae,,1974,,"Facey's Paddock virus isolate Aus Ch 16129 nucleocapsid protein gene, complete cds"
NC_055187.1,,"Rodrigues,D.S., Medeiros,D.B., Rodrigues,S.G., Martins,L.C., de Lima,C.P., de Oliveira,L.F., de Vasconcelos,J.M., Da Silva,D.E., Cardoso,J.F., da Silva,S.P., Vianez-Junior,J.L., Nunes,M.R., Vasconcelos,P.F., Rodrigues,D.S.G., Medeiros,D.B.A., Nunes,M.R.T., Vasconcelos,P.F.C.",2021-06-01T00:00:00Z,,Tapirape pacuvirus,Pacuvirus,Peribunyaviridae,ssRNA(-),4446,RefSeq,complete,,M,1,Brazil: Para,Brazil,,Oxymycterus,,2010-02-07,,"Tapirape virus strain BEAN767592 segment M glycoprotein precursor, gene, complete cds"
NC_055188.1,,"Rodrigues,D.S., Medeiros,D.B., Rodrigues,S.G., Martins,L.C., de Lima,C.P., de Oliveira,L.F., de Vasconcelos,J.M., Da Silva,D.E., Cardoso,J.F., da Silva,S.P., Vianez-Junior,J.L., Nunes,M.R., Vasconcelos,P.F., Rodrigues,D.S.G., Medeiros,D.B.A., Nunes,M.R.T., Vasconcelos,P.F.C.",2021-06-01T00:00:00Z,,Tapirape pacuvirus,Pacuvirus,Peribunyaviridae,ssRNA(-),6839,RefSeq,complete,,L,1,Brazil: Para,Brazil,,Oxymycterus,,2010-02-07,,"Tapirape virus strain BEAN767592 segment L RNA-dependent RNA polymerase gene, complete cds"
NC_055189.1,,"Rodrigues,D.S., Medeiros,D.B., Rodrigues,S.G., Martins,L.C., de Lima,C.P., de Oliveira,L.F., de Vasconcelos,J.M., Da Silva,D.E., Cardoso,J.F., da Silva,S.P., Vianez-Junior,J.L., Nunes,M.R., Vasconcelos,P.F., Rodrigues,D.S.G., Medeiros,D.B.A., Nunes,M.R.T., Vasconcelos,P.F.C.",2021-06-01T00:00:00Z,,Tapirape pacuvirus,Pacuvirus,Peribunyaviridae,ssRNA(-),949,RefSeq,complete,,S,1,Brazil: Para,Brazil,,Oxymycterus,,2010-02-07,,"Tapirape virus strain BEAN767592 segment S nucleocapsid protein N gene, complete cds"
NC_055190.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Kang,Y.J., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J., Zhang,Y.-Z.",2021-06-01T00:00:00Z,,Sanxia sawastrivirus,Sawastrivirus,Phasmaviridae,ssRNA(-),1628,RefSeq,complete,,S,2,China,China,,Gerridae,,2012,,"Sanxia Water Strider Virus 2 strain SXSSP02 nucleocapsid protein (N) gene, complete cds"
NC_055191.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Kang,Y.J., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J., Zhang,Y.-Z.",2021-06-01T00:00:00Z,,Sanxia sawastrivirus,Sawastrivirus,Phasmaviridae,ssRNA(-),4213,RefSeq,complete,,M,2,China,China,,Gerridae,,2012,,"Sanxia Water Strider Virus 2 strain SXSSP02 glycoprotein precursor (G) gene, complete cds"
NC_055192.1,,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.",2021-06-01T00:00:00Z,,Sanxia sawastrivirus,Sawastrivirus,Phasmaviridae,ssRNA(-),7151,RefSeq,complete,,L,1,China,China,,Gerridae,,2012,,"Sanxia Water Strider Virus 2 strain SXSSP02 RNA-dependent RNA polymerase (L) gene, complete cds"
NC_055193.1,,,2021-06-01T00:00:00Z,,Trivittatus orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4503,RefSeq,complete,,M,,"USA: Bismarck, ND",USA,ND,Ochlerotatus trivittatus,,1948,,"Trivittatus virus strain Eklund segment M, complete sequence"
NC_055194.1,,,2021-06-01T00:00:00Z,,Trivittatus orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),973,RefSeq,complete,,S,,"USA: Bismarck, ND",USA,ND,Ochlerotatus trivittatus,,1948,,"Trivittatus virus strain Eklund segment S, complete sequence"
NC_055195.1,,,2021-06-01T00:00:00Z,,Trivittatus orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6960,RefSeq,complete,,L,,"USA: Bismarck, ND",USA,ND,Ochlerotatus trivittatus,,1948,,"Trivittatus virus strain Eklund segment L, complete sequence"
NC_055196.1,,"Lavrent'ev,M.V., Prilipov,A.G., Khutoretskaia,N.V., Butenko,A.M., L'vov,D.K., Lavrentev,M.V.",2021-06-01T00:00:00Z,,Snowshoe hare orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6882,RefSeq,complete,California,L,1,USA: Montana,USA,MT,Lepus americanus,blood,1959,,"Snowshoe hare virus L polyprotein (L) gene, complete cds"
NC_055197.1,,"Lavrent'ev,M.V., Prilipov,A.G., Khutoretskaia,N.V., Butenko,A.M., L'vov,D.K., Lavrentev,M.V.",2021-06-01T00:00:00Z,,Snowshoe hare orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4434,RefSeq,complete,,M,1,USA: Montana,USA,MT,,brain,1959,,"Snowshoe hare virus segment M G1/G2 membrane polyprotein gene, complete cds"
NC_055198.1,,"Lavrent'ev,M.V., Prilipov,A.G., Khutoretskaia,N.V., Butenko,A.M., L'vov,D.K., Lavrentev,M.V.",2021-06-01T00:00:00Z,,Snowshoe hare orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),892,RefSeq,complete,,small,1,USA: Montana,USA,MT,,brain,1959,,"Snowshoe hare virus segment small, complete sequence"
NC_055199.1,,,2021-06-01T00:00:00Z,,Anadyr orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),929,RefSeq,complete,,S,,"Russia: Magadan region, Krasneno village",Russia,,Aedes,,1986,,"Anadyr virus strain LEIV-13395Mg segment S, complete sequence"
NC_055200.1,,,2021-06-01T00:00:00Z,,Anadyr orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4440,RefSeq,complete,,M,,"Russia: Magadan region, Krasneno village",Russia,,Aedes,,1986,,"Anadyr virus strain LEIV-13395Mg segment M, complete sequence"
NC_055201.1,,,2021-06-01T00:00:00Z,,Anadyr orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6858,RefSeq,complete,,L,,"Russia: Magadan region, Krasneno village",Russia,,Aedes,,1986,,"Anadyr virus strain LEIV-13395Mg segment L, complete sequence"
NC_055202.1,,"Akopyants,N.S., Lye,L.F., Dobson,D.E., Lukes,J., Beverley,S.M., Lye,L.-F.",2021-06-01T00:00:00Z,LepmorLBV1a-S,Leptomonas shilevirus,Shilevirus,Leishbuviridae,ssRNA(-),661,RefSeq,complete,,S,1,Madagascar: Moramango,Madagascar,,Leptomonas moramango,,2009,,"Leptomonas moramango leishbunyavirus isolate LepmorLBV1a-S nucleocapsid gene, complete cds"
