"","Id","molecule","Molecule_type","Organism_Name","Species","Genus","Family","Length"
"16","NC_035887.1","DNA","ssDNA(+/-)","Tobacco leaf curl Cuba virus","Tobacco leaf curl Cuba virus","Begomovirus","Geminiviridae",2609
"17","NC_049501.1","DNA","dsDNA","Salmonella phage allotria","Kuttervirus allotria","Kuttervirus","Ackermannviridae",151015
"18","NC_011039.1","DNA","dsDNA","Mycobacterium phage Predator","Predatorvirus predator","Predatorvirus","Unknown",70110
"19","NC_030948.1","DNA","dsDNA","Ralstonia phage RSP15","Ralstonia phage RSP15","Unknown","Ackermannviridae",167619
"20","NC_038965.1","DNA","ssDNA(+/-)","Tomato chlorotic mottle Guyane virus","Tomato chlorotic mottle Guyane virus","Begomovirus","Geminiviridae",2631
"21","NC_035676.1","DNA","ssDNA(+/-)","Tomato associated geminivirus 1","Tomato associated geminivirus 1","Unknown","Geminiviridae",2611
"22","NC_049364.1","DNA","dsDNA","Lactococcus phage 936 group phage Phi91127","Skunavirus sv91127","Skunavirus","Unknown",31495
"23","NC_014380.1","DNA","ssDNA(+/-)","Melon chlorotic mosaic virus","Melon chlorotic mosaic virus","Begomovirus","Geminiviridae",2628
"24","NC_007061.1","DNA","dsDNA","Staphylococcus phage 29","Phietavirus pv29","Phietavirus","Unknown",42802
"25","NC_028983.1","DNA","dsDNA","Bacillus phage Shanette","Siminovitchvirus shanette","Siminovitchvirus","Herelleviridae",138877
"26","NC_048040.1","DNA","dsDNA","Gordonia phage Phistory","Phistoryvirus phistory","Phistoryvirus","Unknown",53085
"27","NC_055619.1","DNA","ssDNA(+)","Sophora yellow stunt virus","Sophora yellow stunt virus","Nanovirus","Nanoviridae",980
"28","NC_076378.1","DNA","ssDNA","Tortoise genomovirus 17","Gemycircularvirus gopha1","Gemycircularvirus","Genomoviridae",2255
"29","NC_048676.1","DNA","dsDNA","Pseudomonas phage SL1","Pbunavirus SL1","Pbunavirus","Unknown",65847
"30","NC_077077.1","DNA","dsDNA","Pyramimonas orientalis virus","Heliosvirus raunefjordenense","Heliosvirus","Allomimiviridae",186217
"31","NC_048827.1","DNA","dsDNA","Vibrio phage vB_VchM_Kuja","Kujavirus kuja","Kujavirus","Ackermannviridae",148180
"32","NC_029077.1","DNA","dsDNA","Mycobacterium phage VohminGhazi","Gladiatorvirus ericB","Gladiatorvirus","Unknown",52155
"33","NC_019417.1","DNA","dsDNA","Salmonella phage SPN19","Chivirus SPN19","Chivirus","Casjensviridae",59203
"34","NC_031271.1","DNA","dsDNA","Salmonella phage BP12B","Zindervirus BP12B","Zindervirus","Autographiviridae",43602
"35","NC_012041.1","DNA","ssDNA(+/-)","Bhendi yellow vein Bhubhaneswar virus","Bhendi yellow vein Bhubhaneswar virus","Begomovirus","Geminiviridae",2757
"36","NC_015503.1","DNA","dsDNA-RT","Banana streak UI virus","Badnavirus zetavirgamusae","Badnavirus","Caulimoviridae",7458
"37","NC_001396.1","DNA","ssDNA(+)","Xanthomonas phage Cf1c","Coriovirus Cf1c","Coriovirus","Inoviridae",7308
"38","NC_038908.1","DNA","ssDNA(+)","Faba bean yellow leaf virus","Faba bean yellow leaf virus","Nanovirus","Nanoviridae",995
"39","NC_021312.1","DNA","dsDNA","Phaeocystis globosa virus","Phaeocystis globosa virus","Prymnesiovirus","Phycodnaviridae",459984
"40","NC_030927.1","DNA","dsDNA","Gordonia phage Splinter","Vendettavirus vendetta","Vendettavirus","Unknown",45858
"41","NC_038486.1","DNA","ssDNA","Pteropus associated gemycircularvirus 3","Gemycircularvirus ptero3","Gemycircularvirus","Genomoviridae",2172
"42","NC_049418.1","DNA","dsDNA","Lactococcus phage LP9404","Skunavirus LP9404","Skunavirus","Unknown",30072
"43","NC_076264.1","DNA","ssDNA(-)","Gyrovirus 11","Gyrovirus myferr1","Gyrovirus","Anelloviridae",1873
"44","NC_018505.1","DNA","dsDNA-RT","Soybean Putnam virus","Caulimovirus glycinis","Caulimovirus","Caulimoviridae",7757
"45","NC_076708.1","DNA","ssDNA","Northern red-backed vole stool-associated circular virus 116","Ringilvirus thingol","Ringilvirus","Vilyaviridae",2122
"46","NC_023701.1","DNA","dsDNA","Mycobacterium phage Acadian","Acadianvirus acadian","Acadianvirus","Unknown",69864
"47","NC_074633.1","DNA","dsDNA","Metallosphaera rod-shaped virus 1","Hoswirudivirus MRV1","Hoswirudivirus","Rudiviridae",20269
"48","NC_054722.1","DNA","dsDNA","Mycobacterium phage Sauce","Bixzunavirus sauce","Bixzunavirus","Unknown",156554
"49","NC_038264.1","DNA","dsDNA","Porcine lymphotropic herpesvirus 1","Macavirus suidgamma3","Macavirus","Orthoherpesviridae",73200
"50","NC_042048.1","DNA","dsDNA","Listeria phage LMTA-34","Pecentumvirus LMTA34","Pecentumvirus","Herelleviridae",138036
"51","NC_028046.1","DNA","ssDNA(+/-)","Chilli leaf curl Ahmedabad virus-India [India/Ahmedabad/2014]","Chilli leaf curl Ahmedabad virus-India [India/Ahmedabad/2014]","Begomovirus","Geminiviridae",2744
"52","NC_008936.1","DNA","dsDNA","Ichnoviriform fumiferanae","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae",2588
"53","NC_027647.1","DNA","ssDNA(+)","Microviridae Fen7918_21","Microviridae Fen7918_21","Unknown","Microviridae",4199
"54","NC_047939.1","DNA","dsDNA","Yersinia phage YpP-Y","Teseptimavirus YpPY","Teseptimavirus","Autographiviridae",37714
"55","NC_007999.1","DNA","dsDNA","Ichnoviriform sonorense","Ichnoviriform sonorense","Ichnoviriform","Polydnaviriformidae",11841
"56","NC_047796.1","DNA","dsDNA","Enterococcus phage EFP01","Schiekvirus EFP01","Schiekvirus","Herelleviridae",155053
"57","NC_024150.1","DNA","dsDNA","California sea lion adenovirus 1","Sea lion mastadenovirus A","Mastadenovirus","Adenoviridae",31709
"58","NC_048179.1","DNA","dsDNA","Salmonella phage ZCSE2","Rosemountvirus ZCSE2","Loughboroughvirus","Unknown",53965
"59","NC_028786.1","DNA","dsDNA","Klebsiella phage 1513","Webervirus wv1513","Webervirus","Drexlerviridae",49462
"60","NC_025684.1","DNA","ssDNA(+/-)","Po-Circo-like virus 51","Po-Circo-like virus 51","Unknown","Circoviridae",2833
"61","NC_023428.1","DNA","ssDNA","Dragonfly larvae associated circular virus-2","Dragonfly larvae associated circular virus-2","Unknown","Unknown",2398
"62","NC_021795.1","DNA","dsDNA","Cellulophaga phage phi17:1","Helsingorvirus Cba171","Helsingorvirus","Unknown",38776
"63","NC_011019.1","DNA","dsDNA","Mycobacterium phage KBG","Fromanvirus KBG","Fromanvirus","Unknown",53572
"64","NC_023159.1","DNA","ssDNA(+)","Pea necrotic yellow dwarf virus","Pea necrotic yellow dwarf virus","Nanovirus","Nanoviridae",993
"65","NC_043347.1","DNA","dsDNA","Bracoviriform indiense","Bracoviriform indiense","Bracoviriform","Polydnaviriformidae",13173
"66","NC_022067.1","DNA","dsDNA","Mycobacterium phage Wanda","Mycobacterium phage Wanda","Omegavirus","Unknown",109960
"67","NC_019507.1","DNA","dsDNA","Campylobacter phage CP21","Firehammervirus CP21","Firehammervirus","Unknown",182833
"68","NC_077109.1","DNA","ssDNA(+/-)","Wolvfec circovius","Wolvfec circovius","Circovirus","Circoviridae",1967
"69","NC_018837.1","DNA","dsDNA","Pectobacterium phage My1","Myunavirus My1","Myunavirus","Demerecviridae",122024
"70","NC_076149.1","DNA","ssDNA","Tomato leaf curl Togo betasatellite-[Togo:2006]","Tomato leaf curl Togo betasatellite-[Togo:2006]","Betasatellite","Tolecusatellitidae",1399
"71","NC_039058.1","DNA","ssDNA","Camel associated drosmacovirus 2","Camel associated drosmacovirus 2","Drosmacovirus","Smacoviridae",2580
"72","NC_049847.1","DNA","dsDNA","Klebsiella phage Sin4","Webervirus sin4","Webervirus","Drexlerviridae",49916
"73","NC_002816.1","DNA","dsDNA","Cydia pomonella granulovirus","Betabaculovirus cypomonellae","Betabaculovirus","Baculoviridae",123500
"74","NC_040348.1","DNA","ssDNA","Lepus americanus faeces associated genomovirus SHP111","Lepus americanus faeces associated genomovirus SHP111","Unknown","Genomoviridae",2134
"75","NC_022065.1","DNA","dsDNA","Mycobacterium phage Contagion","Mycobacterium phage Contagion","Kostyavirus","Unknown",74533
"76","NC_026927.1","DNA","dsDNA","Synechococcus phage ACG-2014f","Atlauavirus tusconc8","Atlauavirus","Kyanoviridae",228143
"77","NC_020499.1","DNA","ssDNA(+/-)","Canine bocavirus 1","Bocaparvovirus carnivoran2","Bocaparvovirus","Parvoviridae",5413
"78","NC_027923.1","DNA","dsDNA","Perigonia lusca single nucleopolyhedrovirus","Alphabaculovirus peluscae","Alphabaculovirus","Baculoviridae",132831
"79","NC_001350.1","DNA","dsDNA","Saimiriine gammaherpesvirus 2","Rhadinovirus saimiriinegamma2","Rhadinovirus","Orthoherpesviridae",112930
"80","NC_021924.1","DNA","dsDNA","Choristoneura rosaceana nucleopolyhedrovirus","Alphabaculovirus chorosaceanae","Alphabaculovirus","Baculoviridae",129052
"81","NC_075432.1","DNA","ssDNA(+/-)","Rice latent virus 1","Rice latent virus 1","Mastrevirus","Geminiviridae",2756
"82","NC_076477.1","DNA","ssDNA","Artemisia carvifolia genomoviridae","Gemyduguivirus arteca1","Gemyduguivirus","Genomoviridae",2198
"83","NC_054934.1","DNA","dsDNA","Escherichia phage teqskov","Tequatrovirus teqskov","Tequatrovirus","Straboviridae",165017
"84","NC_020853.1","DNA","dsDNA","Loktanella phage pCB2051-A","Broinstvirus pCB2051A","Broinstvirus","Casjensviridae",56958
"85","NC_007902.1","DNA","dsDNA","Sodalis phage phiSG1","Sodalis phage phiSG1","Unknown","Unknown",52162
"86","NC_023502.1","DNA","dsDNA","Rhizobium phage vB_RleS_L338C","Rhizobium phage vB_RleS_L338C","Unknown","Unknown",109558
"87","NC_038678.1","DNA","ssDNA","Okra leaf curl Oman betasatellite","Okra leaf curl Oman betasatellite","Betasatellite","Tolecusatellitidae",1351
"88","NC_042332.1","DNA","dsDNA","Mycobacterium phage JAWS","Anayavirus JAWS","Anayavirus","Unknown",59749
"89","NC_001648.1","DNA","dsDNA-RT","Cassava vein mosaic virus","Cavemovirus venamanihotis","Cavemovirus","Caulimoviridae",8159
"90","NC_003609.1","DNA","ssDNA(+/-)","Honeysuckle yellow vein mosaic virus","Honeysuckle yellow vein mosaic virus","Begomovirus","Geminiviridae",2757
"91","NC_003830.1","DNA","ssDNA(+/-)","Chino del tomate virus","Chino del tomate virus","Begomovirus","Geminiviridae",2634
"92","NC_022916.1","DNA","dsDNA","Burkholderia phage JG068","Mguuvirus JG068","Mguuvirus","Autographiviridae",41604
"93","NC_031940.1","DNA","dsDNA","Salmonella phage 118970_sal3","Salmonella phage 118970_sal3","Unknown","Unknown",77375
"94","NC_031938.1","DNA","dsDNA","Flavobacterium phage Fpv6","Flavobacterium phage Fpv6","Unknown","Unknown",42820
"95","NC_023710.1","DNA","dsDNA","Mycobacterium phage RidgeCB","Fromanvirus ridgecb","Fromanvirus","Unknown",50844
"96","NC_008206.2","DNA","dsDNA","Mycobacterium phage Wildcat","Mycobacterium virus Wildcat","Wildcatvirus","Vilmaviridae",78296
"97","NC_077177.1","DNA","ssDNA","Avonheates virus SG_924","Avonheates virus SG_924","Unknown","Bacilladnaviridae",4518
"98","NC_026601.1","DNA","dsDNA","Pseudomonas phage vB_PaeS_PAO1_Ab30","Pseudomonas phage vB_PaeS_PAO1_Ab30","Casadabanvirus","Unknown",37238
"99","NC_077086.1","DNA","ssDNA(+/-)","Bat associated cyclovirus","Bat associated cyclovirus","Cyclovirus","Circoviridae",1822
"100","NC_021471.1","DNA","dsDNA","Haloarcula sinaiiensis tailed virus 1","Lonfivirus HSTV1","Lonfivirus","Shortaselviridae",32189
"101","NC_023604.1","DNA","dsDNA","Mycobacterium phage Jolie2","Jolieduovirus jolie2","Jolieduovirus","Unknown",44306
"102","NC_077119.1","DNA","ssDNA(+/-)","Horse parvovirus CSF","Horse parvovirus CSF","Unknown","Parvoviridae",5051
"103","NC_004117.1","DNA","dsDNA","Mamestra configurata nucleopolyhedrovirus B","Alphabaculovirus altermaconfiguratae","Alphabaculovirus","Baculoviridae",158482
"104","NC_049356.1","DNA","dsDNA","Lactococcus phage 936 group phage Phi19.3","Skunavirus sv193","Skunavirus","Unknown",28811
"105","NC_016072.1","DNA","dsDNA","Megavirus chiliensis","Megavirus chilense","Megavirus","Mimiviridae",1259197
"106","NC_025891.1","DNA","ssDNA(+/-)","Slow loris parvovirus 1","Slow loris parvovirus 1","Unknown","Parvoviridae",4844
"107","NC_008203.1","DNA","dsDNA","Mycobacterium phage Che12","Fromanvirus Che12","Fromanvirus","Unknown",52047
"108","NC_047940.1","DNA","dsDNA","Yersinia phage YpsP-G","Teseptimavirus YpsPG","Teseptimavirus","Autographiviridae",38288
"109","NC_029023.1","DNA","dsDNA","Escherichia phage JH2","Felixounavirus JH2","Felixounavirus","Unknown",87712
"110","NC_008970.1","DNA","dsDNA","Ichnoviriform fugitivi","Ichnoviriform fugitivi","Ichnoviriform","Polydnaviriformidae",4006
"111","NC_042005.1","DNA","dsDNA","Acinetobacter phage vB_AbaP_B5","Friunavirus B5","Friunavirus","Autographiviridae",41608
"112","NC_028831.1","DNA","dsDNA","Escherichia phage slur01","Escherichia phage slur01","Seuratvirus","Unknown",61235
"113","NC_055126.1","DNA","ssDNA(+/-)","Tomato leaf curl New Delhi virus 5","Tomato leaf curl New Delhi virus 5","Begomovirus","Geminiviridae",2738
"114","NC_003050.2","DNA","dsDNA","Streptococcus phage MM1","Paclarkvirus MM1","Paclarkvirus","Unknown",40248
"115","NC_008197.1","DNA","dsDNA","Mycobacterium phage Orion","Pegunavirus Pg1","Pegunavirus","Unknown",68427
"116","NC_018841.1","DNA","dsDNA","Propionibacterium phage P101A","Pahexavirus P101A","Pahexavirus","Unknown",29574
"117","NC_004295.1","DNA","ssDNA(+/-)","Human erythrovirus V9","Human erythrovirus V9","Erythroparvovirus","Parvoviridae",5028
"118","NC_055152.1","DNA","ssDNA(+/-)","Circovirus rongeur","Circovirus rongeur","Circovirus","Circoviridae",2134
"119","NC_076423.1","DNA","ssDNA(+/-)","Beaked whale circovirus","Circovirus whale","Circovirus","Circoviridae",1889
"120","NC_019539.1","DNA","dsDNA","Salmonella phage vB_SenS-Ent1","Jerseyvirus Ent1","Jerseyvirus","Unknown",42391
"121","NC_030652.1","DNA","dsDNA","Staphylococcus phage 80","Phietavirus pv80","Phietavirus","Unknown",42140
"122","NC_008843.1","DNA","dsDNA","Ichnoviriform fumiferanae","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae",1945
"123","NC_048092.1","DNA","dsDNA","Arthrobacter phage Constance","Bridgettevirus constance","Bridgettevirus","Unknown",43706
"124","NC_048152.1","DNA","dsDNA","Arthrobacter phage Sonali","Sonalivirus sonali","Sonalivirus","Unknown",61073
"125","NC_024771.1","DNA","dsDNA","Equid alphaherpesvirus 3","Varicellovirus equidalpha3","Varicellovirus","Orthoherpesviridae",151601
"126","NC_022085.1","DNA","dsDNA","Mycobacterium phage Goku","Kostyavirus eureka","Kostyavirus","Unknown",76483
"127","NC_076238.1","DNA","ssDNA","Porcine associated porprismacovirus","Porcine associated porprismacovirus","Porprismacovirus","Smacoviridae",2549
"128","NC_012094.1","DNA","ssDNA","Sea turtle tornovirus 1","Sea turtle tornovirus 1","Unknown","Unknown",1898
"129","NC_017091.1","DNA","ssDNA(-)","Gyrovirus GyV3","Gyrovirus homsa1","Gyrovirus","Anelloviridae",2359
"130","NC_038369.1","DNA","dsDNA","Spodoptera littoralis nucleopolyhedrovirus","Alphabaculovirus splittoralis","Alphabaculovirus","Baculoviridae",137998
"131","NC_042051.1","DNA","dsDNA","Streptomyces phage Aaronocolus","Likavirus aaronocolus","Likavirus","Unknown",49562
"132","NC_076281.1","DNA","ssDNA","Plant associated genomovirus 20","Gemycircularvirus lebec1","Gemycircularvirus","Genomoviridae",2257
"133","NC_030143.1","DNA","ssDNA","Faeces associated gemycircularvirus 18","Gemycircularvirus equas1","Gemycircularvirus","Genomoviridae",2240
"134","NC_027401.1","DNA","dsDNA","Propionibacterium phage PHL095N00","Pahexavirus PHL095N00","Pahexavirus","Unknown",29751
"135","NC_055478.1","DNA","ssDNA","Tomato leaf curl Virudhunagar alphasatellite","Tomato leaf curl Virudhunagar alphasatellite","Clecrusatellite","Alphasatellitidae",1361
"136","NC_049402.1","DNA","dsDNA","Lactococcus phage 38507","Skunavirus sv38507","Skunavirus","Unknown",32458
"137","NC_027429.1","DNA","ssDNA(+/-)","Bearded dragon parvovirus","Dependoparvovirus squamate2","Dependoparvovirus","Parvoviridae",4590
"138","NC_055875.1","DNA","dsDNA","uncultured phage cr10_1","Canhaevirus hiberniae","Canhaevirus","Suoliviridae",99985
"139","NC_070911.1","DNA","dsDNA","Salmonella phage BIS20","Salmonella phage BIS20","Eganvirus","Peduoviridae",29512
"140","NC_043223.1","DNA","dsDNA","Senegalvirus marseillevirus","Senegalvirus marseillevirus","Marseillevirus","Marseilleviridae",131580
"141","NC_038892.1","DNA","ssDNA","Banana bunchy top alphasatellite 1","Banana bunchy top alphasatellite 1","Babusatellite","Alphasatellitidae",1096
"142","NC_031670.1","DNA","ssDNA(+/-)","Tetraparvovirus sp.","Tetraparvovirus sp.","Tetraparvovirus","Parvoviridae",5050
"143","NC_031928.1","DNA","dsDNA","Escherichia phage WG01","Dhakavirus wg01","Dhakavirus","Straboviridae",169936
"144","NC_008845.1","DNA","dsDNA","Ichnoviriform fumiferanae","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae",1963
"145","NC_043228.1","DNA","dsDNA","Senegalvirus marseillevirus","Senegalvirus marseillevirus","Marseillevirus","Marseilleviridae",33167
"146","NC_041917.1","DNA","dsDNA","Serratia phage BF","Eneladusvirus BF","Eneladusvirus","Unknown",357154
"147","NC_073605.1","DNA","dsDNA","Pseudomonas phage ITTPL","Pseudomonas phage ITTPL","Pakpunavirus","Unknown",92730
"148","NC_008299.1","DNA","ssDNA(+/-)","Pedilanthus leaf curl virus","Pedilanthus leaf curl virus","Begomovirus","Geminiviridae",2759
"149","NC_051599.1","DNA","dsDNA","Mycobacterium phage Unicorn","Unicornvirus unicorn","Unicornvirus","Unknown",61208
"150","NC_026254.1","DNA","ssDNA","Sewage-associated gemycircularvirus 1","Sewage-associated gemycircularvirus 1","Gemycircularvirus","Genomoviridae",2234
"151","NC_073485.1","DNA","dsDNA","Streptomyces phage AxeJC","Streptomyces phage AxeJC","Unknown","Unknown",37765
"152","NC_076115.1","DNA","ssDNA","Cotton leaf curl Multan DNA betasatellite - [India:Bahraich 03:Kenaf:2006]","Cotton leaf curl Multan betasatellite","Betasatellite","Tolecusatellitidae",1343
"153","NC_028821.1","DNA","dsDNA","Staphylococcus phage StB20-like","Staphylococcus phage StB20-like","Unknown","Unknown",40670
"154","NC_003474.1","DNA","ssDNA(+)","Banana bunchy top virus","Banana bunchy top virus","Babuvirus","Nanoviridae",1043
"155","NC_049398.1","DNA","dsDNA","Lactococcus phage 16802","Skunavirus sv16802","Skunavirus","Unknown",28721
"156","NC_009810.1","DNA","dsDNA","Listeria phage A500","Listeria phage A500","Unknown","Unknown",38867
"157","NC_021322.1","DNA","dsDNA","Haloarcula hispanica tailed virus 1","Clampvirus HHTV1","Clampvirus","Madisaviridae",49107
"158","NC_073184.1","DNA","dsDNA","Salmonella phage F12013","Salmonella phage F12013","Jerseyvirus","Unknown",43628
"159","NC_012685.1","DNA","ssDNA(+/-)","Culex pipiens densovirus","Protoambidensovirus dipteran1","Protoambidensovirus","Parvoviridae",5759
"160","NC_009803.1","DNA","dsDNA","Thermus phage P23-45","Oshimavirus P2345","Oshimavirus","Unknown",84201
"161","NC_031946.1","DNA","dsDNA","Salmonella phage 103203_sal5","Salmonella phage 103203_sal5","Lederbergvirus","Unknown",40443
"162","NC_017002.1","DNA","ssDNA(+/-)","Macroptilium yellow net virus","Macroptilium yellow net virus","Begomovirus","Geminiviridae",2577
"163","NC_054982.1","DNA","dsDNA","Staphylococcus phage Sebago","Phietavirus sebago","Phietavirus","Unknown",43878
"164","NC_048802.1","DNA","dsDNA","Stenotrophomonas phage Moby","Menderavirus moby","Menderavirus","Unknown",159365
"165","NC_073478.1","DNA","dsDNA","Bifidobacterium phage BD811P2","Bifidobacterium phage BD811P2","Unknown","Unknown",17827
"166","NC_015325.1","DNA","dsDNA","Zalophus californianus papillomavirus 1","Dyonupapillomavirus 1","Dyonupapillomavirus","Papillomaviridae",7584
"167","NC_016660.1","DNA","ssDNA(+/-)","Eclipta yellow vein virus","Eclipta yellow vein virus","Begomovirus","Geminiviridae",2740
"168","NC_040618.1","DNA","ssDNA(-)","Rodent Torque teno virus 6","Rodent Torque teno virus 6","Unknown","Anelloviridae",2505
"169","NC_009503.1","DNA","dsDNA","Spodoptera litura granulovirus","Betabaculovirus spliturae","Betabaculovirus","Baculoviridae",124121
"170","NC_027643.1","DNA","ssDNA(+)","Microviridae Fen685_11","Microviridae Fen685_11","Unknown","Microviridae",4654
"171","NC_026628.1","DNA","ssDNA(+/-)","Avon-Heathcote Estuary associated circular virus 4","Avon-Heathcote Estuary associated circular virus 4","Unknown","Circoviridae",1835
"172","NC_055915.1","DNA","dsDNA","Flavobacterium phage vB_FspM_immuto_2-6A","Immutovirus immuto","Immutovirus","Unknown",160410
"173","NC_079185.1","DNA","dsDNA","Vibrio phage vB_VpaM_VPs20","Vibrio phage vB_VpaM_VPs20","Unknown","Chaseviridae",53793
"174","NC_023593.1","DNA","dsDNA","Escherichia phage KBNP1711","Nieuwekanaalvirus KBNP1711","Nieuwekanaalvirus","Unknown",76184
"175","NC_001344.1","DNA","dsDNA-RT","Duck hepatitis B virus","Duck hepatitis B virus","Avihepadnavirus","Hepadnaviridae",3027
"176","NC_073608.1","DNA","dsDNA","Pseudomonas phage Henu5","Pakpunavirus zigelbrucke","Pakpunavirus","Unknown",92558
"177","NC_042343.1","DNA","dsDNA","Pseudomonas phage PaP4","Bruynoghevirus PaP4","Bruynoghevirus","Unknown",43895
"178","NC_054959.1","DNA","dsDNA","Ralstonia phage Gerry","Cimandefvirus Ggerry","Cimandefvirus","Unknown",60898
"179","NC_028129.1","DNA","dsDNA-RT","Woolly monkey hepatitis B virus","Woolly monkey hepatitis B virus","Orthohepadnavirus","Hepadnaviridae",3179
"180","NC_019451.1","DNA","dsDNA","Pseudomonas phage NH-4","Pseudomonas virus NH4","Pbunavirus","Unknown",66116
"181","NC_051653.1","DNA","dsDNA","Mycobacterium phage Emma","Cheoctovirus emma","Cheoctovirus","Unknown",56418
"182","NC_015692.1","DNA","dsDNA","Colobus guereza papillomavirus 2","Betapapillomavirus 1","Betapapillomavirus","Papillomaviridae",7686
"183","NC_055037.1","DNA","dsDNA","Leuconostoc phage phiMH1","Seongbukvirus MH1","Seongbukvirus","Unknown",38709
"184","NC_071021.1","DNA","dsDNA","Stenotrophomonas phage BUCT627","Stenotrophomonas phage BUCT627","Unknown","Unknown",61860
"185","NC_074749.1","DNA","dsDNA","Pseudomonas phage vB_Pae-SS2019XII","Pseudomonas phage vB_Pae-SS2019XII","Beetrevirus","Unknown",39701
"186","NC_009333.1","DNA","dsDNA","Human gammaherpesvirus 8","Rhadinovirus humangamma8","Rhadinovirus","Orthoherpesviridae",137969
"187","NC_054952.1","DNA","dsDNA","Stenotrophomonas phage IME-SM1","Menderavirus IMESM1","Menderavirus","Unknown",159514
"188","NC_020083.1","DNA","dsDNA","Serratia phage phiMAM1","Miltonvirus MAM1","Miltonvirus","Ackermannviridae",157834
"189","NC_015272.2","DNA","dsDNA","Pseudomonas phage KPP10","Nankokuvirus KPP10","Nankokuvirus","Unknown",88322
"190","NC_020080.1","DNA","dsDNA","Klebsiella phage KP27","Slopekvirus kp27","Slopekvirus","Straboviridae",174413
"191","NC_019505.1","DNA","dsDNA","Escherichia phage wV7","Tequatrovirus vtec","Tequatrovirus","Straboviridae",166452
"192","NC_009030.1","DNA","ssDNA(+/-)","Tomato leaf curl Arusha virus","Tomato leaf curl Arusha virus","Begomovirus","Geminiviridae",2762
"193","NC_070844.1","DNA","dsDNA","Bacillus phage pW4","Bacillus phage pW4","Unknown","Unknown",80919
"194","NC_019926.1","DNA","dsDNA","Erwinia phage phiEa100","Eracentumvirus era103","Eracentumvirus","Autographiviridae",45554
"195","NC_024122.1","DNA","dsDNA","Salmonella phage vB-SalM-SJ3","Kuttervirus SJ3","Kuttervirus","Ackermannviridae",162910
"196","NC_048063.1","DNA","dsDNA","Escherichia phage LL2","Teetrevirus LL2","Teetrevirus","Autographiviridae",39382
"197","NC_009526.1","DNA","dsDNA","Staphylococcus phage 80alpha","Dubowvirus dv80alpha","Dubowvirus","Unknown",43864
"198","NC_077199.1","DNA","ssDNA(+/-)","Army ant associated cyclovirus 2","Army ant associated cyclovirus 2","Cyclovirus","Circoviridae",1762
"199","NC_009552.3","DNA","dsDNA","Geobacillus virus E2","Geobacillus virus E2","Unknown","Unknown",40863
"200","NC_011646.1","DNA","dsDNA","Abalone shriveling syndrome-associated virus","Abalone shriveling syndrome-associated virus","Unknown","Unknown",34952
"201","NC_028666.1","DNA","dsDNA","Streptococcus phage Str-PAP-1","Streptococcus phage Str-PAP-1","Unknown","Unknown",36595
"202","NC_070984.1","DNA","dsDNA","Escherichia phage ES17","Escherichia phage ES17","Kuravirus","Unknown",75007
"203","NC_070787.1","DNA","dsDNA","Gordonia phage Bunnybear","Gordonia phage Bunnybear","Nymphadoravirus","Unknown",51268
