Accession,Species,Genus,Family
NC_040559.1,Duamitovirus gima3,Duamitovirus,Mitoviridae
NC_078926.1,Orthobunyavirus mpokoense,Orthobunyavirus,Peribunyaviridae
NC_019493.1,Grapevine endophyte alphaendornavirus,Alphaendornavirus,Endornaviridae
NC_076378.1,Gemycircularvirus gopha1,Gemycircularvirus,Genomoviridae
NC_077077.1,Heliosvirus raunefjordenense,Heliosvirus,Allomimiviridae
NC_048827.1,Kujavirus kuja,Kujavirus,Ackermannviridae
NC_008028.1,Daphne mosaic virus,Potyvirus,Potyviridae
NC_074485.1,Sdenfavirus asiovicinum,Sdenfavirus,Steitzviridae
NC_019417.1,Chivirus SPN19,Chivirus,Casjensviridae
NC_040458.1,Orthonairovirus avalonense,Orthonairovirus,Nairoviridae
NC_031271.1,Zindervirus BP12B,Zindervirus,Autographiviridae
NC_012041.1,Bhendi yellow vein Bhubhaneswar virus,Begomovirus,Geminiviridae
NC_015503.1,Badnavirus zetavirgamusae,Badnavirus,Caulimoviridae
NC_025379.2,Mamastrovirus 3,Mamastrovirus,Astroviridae
NC_008171.1,Micromonas pusilla reovirus,Mimoreovirus,Sedoreoviridae
NC_001396.1,Coriovirus Cf1c,Coriovirus,Inoviridae
NC_038908.1,Faba bean yellow leaf virus,Nanovirus,Nanoviridae
NC_003783.1,Triatovirus triatomae,Triatovirus,Dicistroviridae
NC_021312.1,Phaeocystis globosa virus,Prymnesiovirus,Phycodnaviridae
NC_038486.1,Gemycircularvirus ptero3,Gemycircularvirus,Genomoviridae
NC_033729.1,Phomosis penoulivirus,Penoulivirus,Botourmiaviridae
NC_076264.1,Gyrovirus myferr1,Gyrovirus,Anelloviridae
NC_018505.1,Caulimovirus glycinis,Caulimovirus,Caulimoviridae
NC_076708.1,Ringilvirus thingol,Ringilvirus,Vilyaviridae
NC_076566.1,Duamitovirus scsc6,Duamitovirus,Mitoviridae
NC_005339.1,Narmovirus mossmanense,Narmovirus,Paramyxoviridae
NC_074633.1,Hoswirudivirus MRV1,Hoswirudivirus,Rudiviridae
NC_038264.1,Macavirus suidgamma3,Macavirus,Orthoherpesviridae
NC_009991.1,Phlox virus B,Carlavirus,Betaflexiviridae
NC_042048.1,Pecentumvirus LMTA34,Pecentumvirus,Herelleviridae
NC_028046.1,Chilli leaf curl Ahmedabad virus-India [India/Ahmedabad/2014],Begomovirus,Geminiviridae
NC_002210.1,Betainfluenzavirus influenzae,Betainfluenzavirus,Orthomyxoviridae
NC_008936.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_047939.1,Teseptimavirus YpPY,Teseptimavirus,Autographiviridae
NC_007999.1,Ichnoviriform sonorense,Ichnoviriform,Polydnaviriformidae
NC_007754.1,Peruvian horse sickness virus,Orbivirus,Sedoreoviridae
NC_032490.1,Paguronivirus 1,Paguronivirus,Euroniviridae
NC_038697.1,Scheffersomyces segobiensis virus L,Totivirus,Totiviridae
NC_047796.1,Schiekvirus EFP01,Schiekvirus,Herelleviridae
NC_007154.1,Fiji disease virus,Fijivirus,Spinareoviridae
NC_032279.1,Hudivirus muscae,Hudivirus,Phenuiviridae
NC_006313.1,Mammarenavirus brazilense,Mammarenavirus,Arenaviridae
NC_024150.1,Sea lion mastadenovirus A,Mastadenovirus,Adenoviridae
NC_038781.1,Alphachrysovirus cryphonectriae,Alphachrysovirus,Chrysoviridae
NC_028786.1,Webervirus wv1513,Webervirus,Drexlerviridae
NC_074426.1,Luloavirus edaphocola,Luloavirus,Steitzviridae
NC_027210.1,Catharanthus mosaic virus,Potyvirus,Potyviridae
NC_025346.1,Rabbit astrovirus TN/2208/2010,Mamastrovirus,Astroviridae
NC_038789.1,Tetterwort vein chlorosis virus,Crinivirus,Closteroviridae
NC_052928.1,Quaranjavirus johnstonense,Quaranjavirus,Orthomyxoviridae
NC_023159.1,Pea necrotic yellow dwarf virus,Nanovirus,Nanoviridae
NC_012800.1,Cosavirus A,Cosavirus,Picornaviridae
NC_043347.1,Bracoviriform indiense,Bracoviriform,Polydnaviriformidae
NC_038651.1,Cypovirus 16,Cypovirus,Spinareoviridae
NC_076646.1,Sclerotium rolfsii hypovirus 7,Hypovirus,Hypoviridae
NC_077109.1,Wolvfec circovius,Circovirus,Circoviridae
NC_029129.1,Phlebovirus adanaense,Phlebovirus,Phenuiviridae
NC_018837.1,Myunavirus My1,Myunavirus,Demerecviridae
NC_076149.1,Tomato leaf curl Togo betasatellite-[Togo:2006],Betasatellite,Tolecusatellitidae
NC_039058.1,Camel associated drosmacovirus 2,Drosmacovirus,Smacoviridae
NC_049847.1,Webervirus sin4,Webervirus,Drexlerviridae
NC_074077.1,Psehatovirus edaphovivens,Psehatovirus,Fiersviridae
NC_002816.1,Betabaculovirus cypomonellae,Betabaculovirus,Baculoviridae
NC_024501.1,Gentian ovary ringspot virus,Goravirus,Virgaviridae
NC_026927.1,Atlauavirus tusconc8,Atlauavirus,Kyanoviridae
NC_020499.1,Bocaparvovirus carnivoran2,Bocaparvovirus,Parvoviridae
NC_079055.1,Codonopsis torradovirus A,Torradovirus,Secoviridae
NC_021244.1,Bandavirus amblyommae,Bandavirus,Phenuiviridae
NC_076218.1,Tropivirus B,Tropivirus,Picornaviridae
NC_073848.1,Whodehavirus pelovicinum,Whodehavirus,Atkinsviridae
NC_027923.1,Alphabaculovirus peluscae,Alphabaculovirus,Baculoviridae
NC_001350.1,Rhadinovirus saimiriinegamma2,Rhadinovirus,Orthoherpesviridae
NC_021924.1,Alphabaculovirus chorosaceanae,Alphabaculovirus,Baculoviridae
NC_014793.1,Aparavirus cancerluti,Aparavirus,Dicistroviridae
NC_034488.1,Orthobunyavirus oribocaense,Orthobunyavirus,Peribunyaviridae
NC_007588.1,Aquareovirus A,Aquareovirus,Spinareoviridae
NC_075432.1,Rice latent virus 1,Mastrevirus,Geminiviridae
NC_076477.1,Gemyduguivirus arteca1,Gemyduguivirus,Genomoviridae
NC_030864.1,Duamitovirus fupo4,Duamitovirus,Mitoviridae
NC_054934.1,Tequatrovirus teqskov,Tequatrovirus,Straboviridae
NC_020853.1,Broinstvirus pCB2051A,Broinstvirus,Casjensviridae
NC_034974.1,Mamastrovirus 2,Mamastrovirus,Astroviridae
NC_006999.2,Cassia yellow blotch virus,Bromovirus,Bromoviridae
NC_006963.2,Blackberry yellow vein-associated virus,Crinivirus,Closteroviridae
NC_038678.1,Okra leaf curl Oman betasatellite,Betasatellite,Tolecusatellitidae
NC_004010.1,Potato virus V,Potyvirus,Potyviridae
NC_038659.1,Nelson Bay orthoreovirus,Orthoreovirus,Spinareoviridae
NC_076859.1,Duamitovirus cesp1,Duamitovirus,Mitoviridae
NC_038726.1,Orthobunyavirus catuense,Orthobunyavirus,Peribunyaviridae
NC_034490.1,Orthobunyavirus bwambaense,Orthobunyavirus,Peribunyaviridae
NC_026438.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_078130.1,Orthonairovirus amblyommae,Orthonairovirus,Nairoviridae
NC_001648.1,Cavemovirus venamanihotis,Cavemovirus,Caulimoviridae
NC_003609.1,Honeysuckle yellow vein mosaic virus,Begomovirus,Geminiviridae
NC_028377.1,Wenling shark virus,Hepacivirus,Flaviviridae
NC_043213.1,Equine torovirus,Torovirus,Tobaniviridae
NC_055599.1,Malus domestica virus A,Velarivirus,Closteroviridae
NC_003830.1,Chino del tomate virus,Begomovirus,Geminiviridae
NC_074269.1,Bahnicevirus tellurihabitans,Bahnicevirus,Steitzviridae
NC_022916.1,Mguuvirus JG068,Mguuvirus,Autographiviridae
NC_043612.1,Orthobunyavirus enseadaense,Orthobunyavirus,Peribunyaviridae
NC_040423.1,Penicillium digitatum polymycovirus 1,Polymycovirus,Polymycoviridae
NC_074452.1,Podtsbuvirus caenenecus,Podtsbuvirus,Steitzviridae
NC_055370.1,Uukuvirus silverwaterense,Uukuvirus,Phenuiviridae
NC_002037.1,Black beetle virus,Alphanodavirus,Nodaviridae
NC_008206.2,Mycobacterium virus Wildcat,Wildcatvirus,Vilmaviridae
NC_077086.1,Bat associated cyclovirus,Cyclovirus,Circoviridae
NC_021471.1,Lonfivirus HSTV1,Lonfivirus,Shortaselviridae
NC_004117.1,Alphabaculovirus altermaconfiguratae,Alphabaculovirus,Baculoviridae
NC_025480.2,Torradovirus carotae,Torradovirus,Secoviridae
NC_076616.1,Xylavirus EntGFV-2,Xylavirus,Gammaflexiviridae
NC_016072.1,Megavirus chilense,Megavirus,Mimiviridae
NC_003540.1,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae
NC_076000.1,Betanucleorhabdovirus ribes,Betanucleorhabdovirus,Rhabdoviridae
NC_011065.1,Epirus cherry virus,Ourmiavirus,Botourmiaviridae
NC_047940.1,Teseptimavirus YpsPG,Teseptimavirus,Autographiviridae
NC_074272.1,Bahnicevirus terradaptatum,Bahnicevirus,Steitzviridae
NC_008970.1,Ichnoviriform fugitivi,Ichnoviriform,Polydnaviriformidae
NC_043510.1,Phlebovirus mukawaense,Phlebovirus,Phenuiviridae
NC_078373.1,Emaravirus perillae,Emaravirus,Fimoviridae
NC_073792.1,Ichonovirus limivicinum,Ichonovirus,Atkinsviridae
NC_007673.1,Aedes pseudoscutellaris reovirus,Dinovernavirus,Spinareoviridae
NC_074303.1,Gredihovirus arvihabitans,Gredihovirus,Steitzviridae
NC_042005.1,Friunavirus B5,Friunavirus,Autographiviridae
NC_079061.1,Stenotaphrum nepovirus,Nepovirus,Secoviridae
NC_055126.1,Tomato leaf curl New Delhi virus 5,Begomovirus,Geminiviridae
NC_003539.1,Citrus bark cracking viroid,Cocadviroid,Pospiviroidae
NC_074589.1,Gredihovirus arvicola,Gredihovirus,Steitzviridae
NC_010667.1,Cypovirus 5,Cypovirus,Spinareoviridae
NC_004295.1,Human erythrovirus V9,Erythroparvovirus,Parvoviridae
NC_003833.1,Tulare apple mosaic virus,Ilarvirus,Bromoviridae
NC_038754.1,Tenuivirus zeae,Tenuivirus,Phenuiviridae
NC_055152.1,Circovirus rongeur,Circovirus,Circoviridae
NC_076423.1,Circovirus whale,Circovirus,Circoviridae
NC_003628.1,Sequivirus pastinacae,Sequivirus,Secoviridae
NC_079030.1,Orthobunyavirus botambiense,Orthobunyavirus,Peribunyaviridae
NC_074249.1,Bahnicevirus geoadaptatum,Bahnicevirus,Steitzviridae
NC_004908.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_003724.1,Potato mop-top virus,Pomovirus,Virgaviridae
NC_008843.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_024771.1,Varicellovirus equidalpha3,Varicellovirus,Orthoherpesviridae
NC_076238.1,Porcine associated porprismacovirus,Porprismacovirus,Smacoviridae
NC_076553.1,Triamitovirus tuex1,Triamitovirus,Mitoviridae
NC_040422.1,Penicillium digitatum polymycovirus 1,Polymycovirus,Polymycoviridae
NC_017091.1,Gyrovirus homsa1,Gyrovirus,Anelloviridae
NC_038369.1,Alphabaculovirus splittoralis,Alphabaculovirus,Baculoviridae
NC_076281.1,Gemycircularvirus lebec1,Gemycircularvirus,Genomoviridae
NC_030143.1,Gemycircularvirus equas1,Gemycircularvirus,Genomoviridae
NC_002634.1,Soybean mosaic virus,Potyvirus,Potyviridae
NC_026281.1,Orthobunyavirus maprikense,Orthobunyavirus,Peribunyaviridae
NC_055478.1,Tomato leaf curl Virudhunagar alphasatellite,Clecrusatellite,Alphasatellitidae
NC_035484.1,Orthotospovirus tomatoflavi,Orthotospovirus,Tospoviridae
NC_027817.1,Parramatta River virus,Flavivirus,Flaviviridae
NC_027429.1,Dependoparvovirus squamate2,Dependoparvovirus,Parvoviridae
NC_055875.1,Canhaevirus hiberniae,Canhaevirus,Suoliviridae
NC_070911.1,Salmonella phage BIS20,Eganvirus,Peduoviridae
NC_074340.1,Gredihovirus tellurivicinum,Gredihovirus,Steitzviridae
NC_077834.1,Orthobunyavirus manzanillaense,Orthobunyavirus,Peribunyaviridae
NC_074772.1,Orthopneumovirus muris,Orthopneumovirus,Pneumoviridae
NC_043223.1,Senegalvirus marseillevirus,Marseillevirus,Marseilleviridae
NC_038892.1,Banana bunchy top alphasatellite 1,Babusatellite,Alphasatellitidae
NC_031670.1,Tetraparvovirus sp.,Tetraparvovirus,Parvoviridae
NC_031928.1,Dhakavirus wg01,Dhakavirus,Straboviridae
NC_076679.1,Rhizoulivirus gammarhizoctoniae,Rhizoulivirus,Botourmiaviridae
NC_008845.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_078391.1,Emaravirus ziziphi,Emaravirus,Fimoviridae
NC_043228.1,Senegalvirus marseillevirus,Marseillevirus,Marseilleviridae
NC_055277.1,Fusarium redolens polymycovirus 1,Polymycovirus,Polymycoviridae
NC_034530.1,Hapavirus marco,Hapavirus,Rhabdoviridae
NC_016081.1,Grapevine leafroll-associated virus 4,Ampelovirus,Closteroviridae
NC_055145.1,Sclerotinia botoulivirus 2,Botoulivirus,Botourmiaviridae
NC_040387.1,Pythium nunn virus 1,Gammapartitivirus,Partitiviridae
NC_008299.1,Pedilanthus leaf curl virus,Begomovirus,Geminiviridae
NC_026254.1,Sewage-associated gemycircularvirus 1,Gemycircularvirus,Genomoviridae
NC_076115.1,Cotton leaf curl Multan betasatellite,Betasatellite,Tolecusatellitidae
NC_038669.1,Puma lentivirus,Lentivirus,Retroviridae
NC_076392.1,Sclerotimonavirus alternariae,Sclerotimonavirus,Mymonaviridae
NC_006004.1,St Croix River virus,Orbivirus,Sedoreoviridae
NC_012936.1,Murine coronavirus,Betacoronavirus,Coronaviridae
NC_003474.1,Banana bunchy top virus,Babuvirus,Nanoviridae
NC_026431.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_021322.1,Clampvirus HHTV1,Clampvirus,Madisaviridae
NC_074080.1,Pudlivirus limivicinum,Pudlivirus,Fiersviridae
NC_005166.1,Aquareovirus C,Aquareovirus,Spinareoviridae
NC_020447.1,Pteropine orthoreovirus,Orthoreovirus,Spinareoviridae
NC_012685.1,Protoambidensovirus dipteran1,Protoambidensovirus,Parvoviridae
NC_073776.1,Dugnivirus chthonadaptatum,Dugnivirus,Atkinsviridae
NC_017002.1,Macroptilium yellow net virus,Begomovirus,Geminiviridae
NC_032212.1,Epsilonhypovirus sinicum,Epsilonhypovirus,Hypoviridae
NC_073946.1,Gahlovirus lutihabitans,Gahlovirus,Fiersviridae
NC_038615.1,Warrego virus,Orbivirus,Sedoreoviridae
NC_040488.1,Betachrysovirus colletotrichi,Betachrysovirus,Chrysoviridae
NC_018449.1,Papaya lethal yellowing virus,Sobemovirus,Solemoviridae
NC_055208.1,Dichorhavirus citri,Dichorhavirus,Rhabdoviridae
NC_004039.1,Potato virus A,Potyvirus,Potyviridae
NC_048209.1,Epsilonarterivirus zamalb,Epsilonarterivirus,Arteriviridae
NC_043431.1,Orthobunyavirus mpokoense,Orthobunyavirus,Peribunyaviridae
NC_025474.1,Crohivirus A,Crohivirus,Picornaviridae
NC_010434.1,Lolium latent virus,Lolavirus,Alphaflexiviridae
NC_029573.1,Emaravirus idaeobati,Emaravirus,Fimoviridae
NC_003681.1,Coleus blumei viroid 1,Coleviroid,Pospiviroidae
NC_025342.1,Ledantevirus kolente,Ledantevirus,Rhabdoviridae
NC_043388.1,Cheravirus pruni,Cheravirus,Secoviridae
NC_076472.1,Cytorhabdovirus yerbamate,Cytorhabdovirus,Rhabdoviridae
NC_033839.1,Phlebovirus taparaense,Phlebovirus,Phenuiviridae
NC_077726.1,Maize rough dwarf virus,Fijivirus,Spinareoviridae
NC_007582.1,Aquareovirus A,Aquareovirus,Spinareoviridae
NC_015325.1,Dyonupapillomavirus 1,Dyonupapillomavirus,Papillomaviridae
NC_010489.1,Orthotospovirus tomatozonae,Orthotospovirus,Tospoviridae
NC_016660.1,Eclipta yellow vein virus,Begomovirus,Geminiviridae
NC_073980.1,Kirnavirus lutenecus,Kirnavirus,Fiersviridae
NC_073791.1,Hysdruvirus tellurivicinum,Hysdruvirus,Atkinsviridae
NC_008300.1,Orthotospovirus meloflavi,Orthotospovirus,Tospoviridae
NC_009503.1,Betabaculovirus spliturae,Betabaculovirus,Baculoviridae
NC_033837.1,Phlebovirus anhangaense,Phlebovirus,Phenuiviridae
NC_076522.1,Eriocheir sinensis reovirus,Cardoreovirus,Sedoreoviridae
NC_073813.1,Moloevirus chthonenecus,Moloevirus,Atkinsviridae
NC_038723.1,Bimiti orthobunyavirus,Orthobunyavirus,Peribunyaviridae
NC_074313.1,Gredihovirus neotellurenecus,Gredihovirus,Steitzviridae
NC_014413.1,Oscivirus A,Oscivirus,Picornaviridae
NC_029559.1,Emaravirus idaeobati,Emaravirus,Fimoviridae
NC_001344.1,Duck hepatitis B virus,Avihepadnavirus,Hepadnaviridae
NC_038598.1,Lebombo virus,Orbivirus,Sedoreoviridae
NC_028129.1,Woolly monkey hepatitis B virus,Orthohepadnavirus,Hepadnaviridae
NC_007242.1,Vicia cryptic virus,Alphapartitivirus,Partitiviridae
NC_006213.1,Betacoronavirus 1,Betacoronavirus,Coronaviridae
NC_040799.1,Helianthus annuus alphaendornavirus,Alphaendornavirus,Endornaviridae
NC_015692.1,Betapapillomavirus 1,Betapapillomavirus,Papillomaviridae
NC_074438.1,Molucevirus chthonovicinum,Molucevirus,Steitzviridae
NC_008393.1,Pepper severe mosaic virus,Potyvirus,Potyviridae
NC_009333.1,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae
NC_027812.1,Tibet orbivirus,Orbivirus,Sedoreoviridae
NC_074607.1,Gredihovirus edaphohabitans,Gredihovirus,Steitzviridae
NC_055112.1,Gambievirus bolahunense,Gambievirus,Xinmoviridae
NC_077840.1,Mammalian orthoreovirus,Orthoreovirus,Spinareoviridae
NC_020083.1,Miltonvirus MAM1,Miltonvirus,Ackermannviridae
NC_035463.1,Ocimum basilicum RNA virus 2,Mitovirus,Mitoviridae
NC_020080.1,Slopekvirus kp27,Slopekvirus,Straboviridae
NC_043505.1,Okavirus flavicapitis,Okavirus,Roniviridae
NC_012533.1,Orthoflavivirus kedougouense,Orthoflavivirus,Flaviviridae
NC_019505.1,Tequatrovirus vtec,Tequatrovirus,Straboviridae
NC_008169.1,Cilevirus leprosis,Cilevirus,Kitaviridae
NC_009030.1,Tomato leaf curl Arusha virus,Begomovirus,Geminiviridae
NC_078678.1,Emaravirus aceris,Emaravirus,Fimoviridae
NC_019926.1,Eracentumvirus era103,Eracentumvirus,Autographiviridae
NC_024122.1,Kuttervirus SJ3,Kuttervirus,Ackermannviridae
NC_048063.1,Teetrevirus LL2,Teetrevirus,Autographiviridae
NC_043098.1,Mamastrovirus 12,Mamastrovirus,Astroviridae
NC_077199.1,Army ant associated cyclovirus 2,Cyclovirus,Circoviridae
NC_002198.2,Cereal yellow dwarf virus RPS,Polerovirus,Solemoviridae
NC_023016.1,Fabavirus lamii,Fabavirus,Secoviridae
NC_038261.1,Phasivirus phasiense,Phasivirus,Phenuiviridae
NC_022631.1,Bandavirus razdanense,Bandavirus,Phenuiviridae
NC_074107.1,Sphonivirus choradaptatum,Sphonivirus,Fiersviridae
NC_055343.1,Phlebovirus maldonadoense,Phlebovirus,Phenuiviridae
NC_055411.1,Orthotospovirus tomatanuli,Orthotospovirus,Tospoviridae
NC_029931.1,Orthonairovirus yogueense,Orthonairovirus,Nairoviridae
NC_007540.1,Alphachrysovirus penicillii,Alphachrysovirus,Chrysoviridae
NC_004674.1,East African cassava mosaic virus,Begomovirus,Geminiviridae
NC_002021.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_076790.1,Betabotoulivirus thetaplasmoparae,Betabotoulivirus,Botourmiaviridae
NC_052999.1,Chivirus ER24,Chivirus,Casjensviridae
NC_055154.1,Circovirus roditore,Circovirus,Circoviridae
NC_033553.1,Zetaarterivirus ugarco 1,Zetaarterivirus,Arteriviridae
NC_043358.1,Bracoviriform indiense,Bracoviriform,Polydnaviriformidae
NC_030121.1,Porprismacovirus sheas1,Porprismacovirus,Smacoviridae
NC_043647.1,Orthobunyavirus potosiense,Orthobunyavirus,Peribunyaviridae
NC_047838.1,Bellamyvirus bellamy,Bellamyvirus,Kyanoviridae
NC_029003.2,Eganvirus SEN1,Eganvirus,Peduoviridae
NC_039050.1,Protoparvovirus primate3,Protoparvovirus,Parvoviridae
NC_055271.1,Rotavirus J,Rotavirus,Sedoreoviridae
NC_019530.1,Kuttervirus SH19,Kuttervirus,Ackermannviridae
NC_078934.1,Orthobunyavirus bakauense,Orthobunyavirus,Peribunyaviridae
NC_003621.1,Nepovirus chromusivum,Nepovirus,Secoviridae
NC_076207.1,Wawtorquevirus crice1,Wawtorquevirus,Anelloviridae
NC_067212.1,Birpovirus hominis,Birpovirus,Suoliviridae
NC_014930.1,Cyclovirus adie,Cyclovirus,Circoviridae
NC_049345.1,Roseovarius Plymouth podovirus 1,Plymouthvirus,Schitoviridae
NC_074631.1,Gredihovirus neotellurihabitans,Gredihovirus,Steitzviridae
NC_018467.1,Orthobunyavirus schmallenbergense,Orthobunyavirus,Peribunyaviridae
NC_005975.1,Alphanucleorhabdovirus maydis,Alphanucleorhabdovirus,Rhabdoviridae
NC_003568.1,Elm mottle virus,Ilarvirus,Bromoviridae
NC_008720.1,Enquatrovirus N4,Enquatrovirus,Schitoviridae
NC_073838.1,Rainacovirus terricola,Rainacovirus,Atkinsviridae
NC_048128.1,Alphalipothrixvirus SBFV2,Alphalipothrixvirus,Lipothrixviridae
NC_079039.1,Anemone nepovirus A,Nepovirus,Secoviridae
NC_034622.1,Alfalfa virus S,Allexivirus,Alphaflexiviridae
NC_007001.1,Cassia yellow blotch virus,Bromovirus,Bromoviridae
NC_038439.1,Boerhavia yellow spot virus,Begomovirus,Geminiviridae
NC_034551.1,Cytorhabdovirus colocasiae,Cytorhabdovirus,Rhabdoviridae
NC_043299.1,Bracoviriform glomeratae,Bracoviriform,Polydnaviriformidae
NC_077137.1,robinz virus RP_1170,Cyclovirus,Circoviridae
NC_043110.1,Orthoflavivirus banziense,Orthoflavivirus,Flaviviridae
NC_038435.1,Pegivirus scotophili,Pegivirus,Flaviviridae
NC_021806.1,Akihdevirus balticus,Akihdevirus,Steigviridae
NC_049435.1,Aorunvirus V12,Aorunvirus,Schitoviridae
NC_028812.1,Lavrentievavirus pPM01,Lavrentievavirus,Casjensviridae
NC_022627.1,Mobuck virus,Orbivirus,Sedoreoviridae
NC_038860.1,Lymphocryptovirus ponginegamma2,Lymphocryptovirus,Orthoherpesviridae
NC_028145.1,Rice necrosis mosaic virus,Bymovirus,Potyviridae
NC_078368.1,Emaravirus perillae,Emaravirus,Fimoviridae
NC_062737.1,Xylivirus XacF13,Xylivirus,Inoviridae
NC_008964.1,Ichnoviriform fugitivi,Ichnoviriform,Polydnaviriformidae
NC_034531.1,Hapavirus manitoba,Hapavirus,Rhabdoviridae
NC_038326.1,Grapevine virus D,Vitivirus,Betaflexiviridae
NC_016082.1,Sida yellow mottle virus,Begomovirus,Geminiviridae
NC_003470.1,Atkinsonella hypoxylon virus,Betapartitivirus,Partitiviridae
NC_040325.1,Cyclovirus mchwa,Cyclovirus,Circoviridae
NC_013772.1,Betabaculovirus myunipunctae,Betabaculovirus,Baculoviridae
NC_076819.1,Penoulivirus iotaplasmoparae,Penoulivirus,Botourmiaviridae
NC_076244.1,Green Sichuan pepper nucleorhabdovirus,Nucleorhabdovirus,Rhabdoviridae
NC_055342.1,Phlebovirus maldonadoense,Phlebovirus,Phenuiviridae
NC_038808.1,Cardamom bushy dwarf virus,Babuvirus,Nanoviridae
NC_078978.1,Orthobunyavirus acaraense,Orthobunyavirus,Peribunyaviridae
NC_029054.2,Orthoflavivirus saboyaense,Orthoflavivirus,Flaviviridae
NC_078229.1,Orthobunyavirus oyoense,Orthobunyavirus,Peribunyaviridae
NC_077926.1,Orthobunyavirus ananindeuaense,Orthobunyavirus,Peribunyaviridae
NC_008882.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_076470.1,Gemycircularvirus citas1,Gemycircularvirus,Genomoviridae
NC_034390.1,Black currant leaf chlorosis associated virus,Idaeovirus,Mayoviridae
NC_076404.1,Marsupivirus A,Marsupivirus,Picornaviridae
NC_040489.1,Betachrysovirus colletotrichi,Betachrysovirus,Chrysoviridae
NC_028113.1,Simian mastadenovirus B,Mastadenovirus,Adenoviridae
NC_048030.1,Jalkavirus S08C159,Jalkavirus,Autographiviridae
NC_055783.1,Dhakavirus ecom005,Dhakavirus,Straboviridae
NC_018613.1,Rhizosolenia setigera RNA virus 01,Bacillarnavirus,Marnaviridae
NC_038950.1,Wound tumor virus,Phytoreovirus,Sedoreoviridae
NC_038985.1,Velvet bean golden mosaic virus,Begomovirus,Geminiviridae
NC_013106.1,European mountain ash ringspot-associated virus,Emaravirus,Fimoviridae
NC_011501.2,Rotavirus A,Rotavirus,Sedoreoviridae
NC_076846.1,Alphahypovirus botrytidis,Alphahypovirus,Hypoviridae
NC_077928.1,Orthobunyavirus bertiogaense,Orthobunyavirus,Peribunyaviridae
NC_048752.1,Tybeckvirus tv521B,Tybeckvirus,Herelleviridae
